,name,pub_year,author_1st,author_2nd,magazine,key_words
0,Simplified performance-based optimal seismic design of reinforced concrete frame buildings,15 April 2019,Chunyu,Ying,Engineering Structures,"['Optimal design', 'Cost', 'Performance-based design', 'Reinforced concrete', 'Frame', 'Inelastic spectrum', 'Nonlinear static analysis']"
1,Evaluating the consistency between prescriptive and performance-based seismic design approaches for reinforced concrete moment frame buildings,1 November 2018,Siamak,NONE,Engineering Structures,[]
2,Review on Recent developments in the performance-based seismic design of reinforced concrete structures,May 2016,Mohd.,Keshav K.,Structures,"['Performance-based seismic design', 'State of development', 'Performance-based seismic evaluation', 'Performance assessment procedures', 'Example building']"
3,The effect of high-performance fiber-reinforced cementitious composites on the lateral behavior of reinforced concrete frames without seismic details,August 2020,Mohammad Hossein,Ali,Structures,"['High-performance fiber-reinforced cementitious composites', 'Beam-column joints', 'Seismic details', 'Reinforced concrete frames', 'Nonlinear static analysis']"
4,Optimal performance-based design of FRP jackets for seismic retrofit of reinforced concrete frames,July–September 2007,X.K.,J.G.,Composites Part B: Engineering,"['Confinement', 'Fiber-reinforced polymer (FRP)', 'Performance-based design', 'Pushover analysis', 'Reinforced concrete', 'Seismic retrofit', 'Structural optimization']"
5,Seismic performance of interior precast concrete beam-column connections with highly ductile fiber-reinforced concrete in the critical cast-in-place regions,1 May 2020,Mingke,Fudong,Engineering Structures,"['Highly ductile fiber-reinforced concrete', 'Beam-column connections', 'Seismic performance', 'Anchorage length', 'Assembly interface']"
6,Seismic performance of strengthened reinforced concrete columns,October 2020,Komathi,Amlan Kumar,Structures,"['Building', 'Column', 'Concrete jacket', 'Interface', 'Reinforced concrete', 'Shear', 'Seismic strengthening', 'Seismic performance', 'Strut-and-tie model']"
7,Effect of stiffness on the seismic performance of code-conforming reinforced concrete shear wall buildings,15 September 2020,M.A.,M.A.,Engineering Structures,"['Reinforced concrete', 'Shear wall', 'Building', 'Collapse', 'Life safety', 'Stiffness', 'Fragility', 'Risk']"
8,Experimental investigation on the seismic performance of low-level corroded and retrofitted reinforced concrete bridge columns with CFRP fabric,15 April 2020,Junfeng,Lingyun,Engineering Structures,"['Reinforced concrete bridge column', 'Chloride-induced corrosion', 'Carbon fiber reinforced polymer', 'Cyclic pseudo-static test', 'Seismic retrofit']"
9,Experimental investigation on the seismic behavior and damage states of reinforced high strength concrete columns,October 2020,Ali,Abass Ali,Structures,"['High-strength concrete', 'HSC', 'Damage states', 'Damage index', 'Column', 'Seismic behavior', 'Performance levels', 'Special moment frame']"
10,Seismic performance of shape memory alloy reinforced concrete moment frames under sequential seismic hazard,August 2020,Emad,NONE,Structures,"['Reinforced concrete moment frame', 'Shape memory alloy', 'Hybrid plastic hinge', 'Inter-story drift', 'Residual displacement', 'Sequential hazard']"
11,Optimal seismic retrofit method for reinforced concrete columns with wing walls,1 May 2020,Yousok,Su A.,Engineering Structures,"['Wing walls', 'Reinforced concrete columns', 'Seismic retrofit', 'Reinforce concrete frame']"
12,Life cycle assessment of seismic retrofit alternatives for reinforced concrete frame buildings,March 2020,Rafael A.,Defne,Journal of Building Engineering,"['Life cycle assessment', 'Reinforced concrete', 'Seismic retrofit', 'Frame structures', 'Recycling']"
13,Seismic performance assessment of different fibers reinforced concrete columns using incremental dynamic analysis,10 April 2019,Yutao,Li,Construction and Building Materials,"['Fiber-reinforced concrete', 'Bridge columns', 'Incremental dynamic analysis', 'Nonlinear static analyses', 'Seismic performance', 'Ground motions']"
14,Seismic performance improvement of single-storey precast reinforced concrete industrial buildings in use,August 2020,Cihan,Ercan,Soil Dynamics and Earthquake Engineering,"['Seismic performance', 'Retrofitting', 'Precast structures', 'Manufacturing plants', 'Column type structure', 'Pinned beam-to-column connections', 'Lead extrusion damper']"
15,Optimal seismic performance-based design of reinforced concrete buildings using nonlinear pushover analysis,July 2005,X.-K.,C.-M.,Engineering Structures,"['Performance-based design', 'Pushover analysis', 'Virtual work', 'Plastic hinge', 'Structural optimization design', 'Optimality criteria method']"
16,Seismic reliability of reinforced concrete bridges subject to environmental deterioration and strengthened with FRCM composites,September 2020,Mariano Angelo,Klajdi,Soil Dynamics and Earthquake Engineering,"['Bridge', 'Deterioration', 'FRCM', 'Seismic retrofit', 'Seismic reliability']"
17,Probabilistic seismic fragility and loss analysis of concrete bridge piers with superelastic shape memory alloy-steel coupled reinforcing bars,15 March 2020,Nailiang,Xu,Engineering Structures,"['Concrete bridge piers', 'Coupled reinforcement', 'Shape memory alloy', 'Seismic fragility', 'Seismic resilience', 'Life-cycle seismic loss']"
18,Performance of seismically substandard bridge reinforced concrete columns subjected to subduction and crustal earthquakes,15 March 2020,Alvaro,Peter,Engineering Structures,"['Shake table experiment', 'Subduction earthquake', 'Reinforced concrete circular bridge column', 'Plastic hinge zone']"
19,Seismic behavior of high-strength concrete columns reinforced with high-strength steel bars,1 September 2020,Jianwei,Ruxing,Engineering Structures,"['High-strength concrete', 'High-strength steel bars', 'Slender column', 'Seismic behavior', 'Reinforcement strain', 'Finite element analysis', 'Ductility factor']"
20,Seismic reliability assessment of code-conforming reinforced concrete buildings made with electric arc furnace slag aggregates,15 September 2019,Flora,Mariano Angelo,Engineering Structures,"['EAF slag', 'Reinforced concrete moment frames', 'Seismic fragility', 'Seismic reliability']"
21,In-plane seismic behavior of autoclaved aerated concrete block masonry walls retrofitted with high ductile fiber-reinforced concrete,15 September 2020,Mingke,Wei,Engineering Structures,"['High ductile fiber-reinforced concrete', 'Unreinforced masonry walls', 'Retrofitted', 'Autoclaved aerated concrete blocks', 'In-plane cyclic loading', 'Ultimate lateral resistance']"
22,Effect of reinforcement grade and concrete strength on seismic performance of reinforced concrete bridge piers,1 November 2019,Junsheng,Junjie,Engineering Structures,"['High-strength steel bars (HSSB)', 'Seismic performance', 'Ductility', 'Hysteretic energy dissipation', 'Bar buckling']"
23,Seismic analysis of older and contemporary reinforced concrete frames with the improved fish-bone model,1 June 2020,Aleš,Matjaž,Engineering Structures,"['Reinforced concrete frame', 'Fish-bone model', 'MDOF model', 'Pseudo-dynamic test', 'Seismic analysis', 'Pushover analysis', 'Fragility analysis', 'FB', 'fish-bone', 'IFB', 'improved fish-bone', 'GF', 'generic frame', 'PsD', 'pseudo-dynamic']"
24,Tests on seismic performance of corroded reinforced concrete shear walls repaired with basalt fiber-reinforced polymers,10 June 2019,Dejian,Qun,Construction and Building Materials,"['Reinforced concrete shear walls', 'Reinforcement corrosion', 'Basalt fiber-reinforced polymer', 'Cyclic load', 'Repairing', 'Seismic performance', 'Strut-and-tie model']"
25,Seismic design methodology for self-centering reinforced concrete frames,April 2019,Xilin,Chun,Soil Dynamics and Earthquake Engineering,"['Self-centering', 'Seismic design', 'Reinforced concrete', 'Concrete frame']"
