,ref_name,concrete_strength,Transverse_yield_max,Longitudinal_yield_max_cor,Longitudinal_yield_max_inter,section,length,load,diameter,num_bar,cover,reinforce_ratio,tran_type,num_tran,close_spacing,tran_ratio,span_to_depth_ratio,axial_load_ratio
0,"Tanaka and Park 1990, No. 5",32 (MPa),Yield Stress: 325 (MPa) Strength: 429 (MPa),Corner Yield Stress: 511 (MPa) Strength: 675 (MPa),Intermediate Yield Stress: 511 (MPa) Strength: 675 (MPa),Width: 550 (mm) Depth: 550 (mm)," L-Inflection: 1,650 (mm) L-Measured: 1,650 (mm)",968 (kN),20 (mm) corner bars | 20 (mm) intermediate bars,12,Clear cover: 40 (mm) Number of intermediate bars: 2,0.0125,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 12 (mm) Hoop Sets: 6 Hoop Spacing: 110 (mm),0.017,3,0.1
1,"Tanaka and Park 1990, No. 6",32 (MPa),Yield Stress: 325 (MPa) Strength: 429 (MPa),Corner Yield Stress: 511 (MPa) Strength: 675 (MPa),Intermediate Yield Stress: 511 (MPa) Strength: 675 (MPa),Width: 550 (mm) Depth: 550 (mm)," L-Inflection: 1,650 (mm) L-Measured: 1,650 (mm)",968 (kN),20 (mm) corner bars | 20 (mm) intermediate bars,12,Clear cover: 40 (mm) Number of intermediate bars: 2,0.0125,RU: Rectangular ties and U-bars,4,Bar Diameter: 12 (mm) Hoop Sets: 6 Hoop Spacing: 110 (mm),0.017,3,0.1
2,"Tanaka and Park 1990, No. 7",32.1 (MPa),Yield Stress: 325 (MPa) Strength: 429 (MPa),Corner Yield Stress: 511 (MPa) Strength: 675 (MPa),Intermediate Yield Stress: 511 (MPa) Strength: 675 (MPa),Width: 550 (mm) Depth: 550 (mm)," L-Inflection: 1,650 (mm) L-Measured: 1,650 (mm)","2,913 (kN)",20 (mm) corner bars | 20 (mm) intermediate bars,12,Clear cover: 40 (mm) Number of intermediate bars: 2,0.0125,RJ: Rectangular ties with J-hooks,4,Bar Diameter: 12 (mm) Hoop Sets: 7 Hoop Spacing: 90 (mm),0.021,3,0.3
3,"Tanaka and Park 1990, No. 8",32.1 (MPa),Yield Stress: 325 (MPa) Strength: 429 (MPa),Corner Yield Stress: 511 (MPa) Strength: 675 (MPa),Intermediate Yield Stress: 511 (MPa) Strength: 675 (MPa),Width: 550 (mm) Depth: 550 (mm)," L-Inflection: 1,650 (mm) L-Measured: 1,650 (mm)","2,913 (kN)",20 (mm) corner bars | 20 (mm) intermediate bars,12,Clear cover: 40 (mm) Number of intermediate bars: 2,0.0125,RU: Rectangular ties and U-bars,4,Bar Diameter: 12 (mm) Hoop Sets: 7 Hoop Spacing: 90 (mm),0.021,3,0.3
4,"Park and Paulay 1990, No. 9",26.9 (MPa),Yield Stress: 305 (MPa) Strength: 0 (MPa),Corner Yield Stress: 432 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 432 (MPa) Strength: 0 (MPa),Width: 400 (mm) Depth: 600 (mm)," L-Inflection: 1,784 (mm) L-Measured: 1,784 (mm)",646 (kN),24 (mm) corner bars | 24 (mm) intermediate bars,10,Clear cover: 24 (mm) Number of intermediate bars: 1,0.0188,RIJ: Rectangular and interlocking ties with J-hooks,3,Bar Diameter: 12 (mm) Hoop Sets: 9 Hoop Spacing: 80 (mm),0.022,2.97,0.1
5,"Ohno and Nishioka 1984, L1",24.8 (MPa),Yield Stress: 325 (MPa) Strength: 0 (MPa),Corner Yield Stress: 362 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 362 (MPa) Strength: 0 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,600 (mm) L-Measured: 1,600 (mm)",127 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,8,Clear cover: 31.5 (mm) Number of intermediate bars: 2,0.0142,R: Rectangular ties (around perimeter),2,Bar Diameter: 9 (mm) Hoop Sets: 0 Hoop Spacing: 100 (mm),0.003,4,0.032
6,"Ohno and Nishioka 1984, L2",24.8 (MPa),Yield Stress: 325 (MPa) Strength: 0 (MPa),Corner Yield Stress: 362 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 362 (MPa) Strength: 0 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,600 (mm) L-Measured: 1,600 (mm)",127 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,8,Clear cover: 31.5 (mm) Number of intermediate bars: 2,0.0142,R: Rectangular ties (around perimeter),2,Bar Diameter: 9 (mm) Hoop Sets: 0 Hoop Spacing: 100 (mm),0.003,4,0.032
7,"Ohno and Nishioka 1984, L3",24.8 (MPa),Yield Stress: 325 (MPa) Strength: 0 (MPa),Corner Yield Stress: 362 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 362 (MPa) Strength: 0 (MPa),Width: 400 (mm) Depth: 400 (mm)," L-Inflection: 1,600 (mm) L-Measured: 1,600 (mm)",127 (kN),19 (mm) corner bars | 19 (mm) intermediate bars,8,Clear cover: 31.5 (mm) Number of intermediate bars: 2,0.0142,R: Rectangular ties (around perimeter),2,Bar Diameter: 9 (mm) Hoop Sets: 0 Hoop Spacing: 100 (mm),0.003,4,0.032
8,"Saatcioglu and Ozcebe 1989, U1",43.6 (MPa),Yield Stress: 470 (MPa) Strength: 0 (MPa),Corner Yield Stress: 430 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 430 (MPa) Strength: 0 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,000 (mm) L-Measured: 1,000 (mm)",0 (kN),25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 22.5 (mm) Number of intermediate bars: 1,0.0321,R: Rectangular ties (around perimeter),2,Bar Diameter: 10 (mm) Hoop Sets: 0 Hoop Spacing: 150 (mm),0.009,2.86,0
9,"Saatcioglu and Ozcebe 1989, U3",34.8 (MPa),Yield Stress: 470 (MPa) Strength: 0 (MPa),Corner Yield Stress: 430 (MPa) Strength: 0 (MPa),Intermediate Yield Stress: 430 (MPa) Strength: 0 (MPa),Width: 350 (mm) Depth: 350 (mm)," L-Inflection: 1,000 (mm) L-Measured: 1,000 (mm)",600 (kN),25 (mm) corner bars | 25 (mm) intermediate bars,8,Clear cover: 22.5 (mm) Number of intermediate bars: 1,0.0321,R: Rectangular ties (around perimeter),2,Bar Diameter: 10 (mm) Hoop Sets: 0 Hoop Spacing: 75 (mm),0.017,2.86,0.141
