,ok_id
0,22
1,23
2,24
3,25
4,26
5,30
6,31
7,32
8,104
9,105
10,106
11,107
12,108
13,133
14,134
15,135
16,136
17,156
18,157
19,158
20,159
21,160
22,161
23,162
24,163
25,164
26,165
27,166
28,167
29,168
30,169
31,170
32,171
33,172
34,173
35,174
36,175
37,176
38,177
39,178
40,179
41,180
42,181
43,182
44,183
45,184
46,185
47,186
48,187
49,188
50,189
51,190
52,191
53,192
54,193
55,194
56,195
57,196
58,197
59,198
60,201
61,202
62,203
63,204
64,205
65,206
66,207
67,208
68,209
69,210
70,211
71,215
72,216
73,217
74,218
75,219
76,220
77,221
78,222
79,223
80,224
81,225
82,226
83,243
84,244
85,245
86,246
87,247
88,248
89,249
90,250
91,251
92,252
93,253
